N X Y Z
1 41 49 75
2 35 17 46
3 55 45 31
4 55 20 23
5 15 30 69
6 25 30 20
7 20 50 2
8 10 43 67
9 55 60 58
10 30 60 59
11 20 65 24
12 50 35 40
13 30 25 27
14 15 10 78
15 30 5 19
16 10 20 57
17 5 30 60
18 20 40 71
19 15 60 11
20 45 65 67
21 45 20 34
22 45 10 25
23 55 5 2
24 65 35 72
25 65 20 8
26 45 30 20
27 35 40 72
28 41 37 67
29 64 42 34
30 40 60 66
31 31 52 70
32 35 69 46
33 53 52 33
34 65 55 19
35 63 65 79
36 2 60 35
37 20 20 41
38 5 5 3
39 60 12 38
40 40 25 42
41 42 7 20
42 24 12 8
43 23 3 53
44 11 14 73
45 6 38 42
46 2 48 3
47 8 56 15
48 13 52 32
49 6 68 25
50 47 47 2
51 49 58 12
52 27 43 16
53 37 31 61
54 57 29 39
55 63 23 40
56 53 12 11
57 32 12 17
58 36 26 42
59 21 24 18
60 17 34 37
61 12 24 52
62 24 58 73
63 27 69 6
64 15 77 66
65 62 77 26
66 49 73 59
67 67 5 23
68 56 39 71
69 37 47 61
70 37 56 44
71 57 68 18
72 47 16 20
73 44 17 11
74 46 13 71
75 49 11 57
76 49 42 33
77 53 43 58
78 61 52 2
79 57 48 51
80 56 37 34
81 55 54 45
82 15 47 58
83 14 37 40
84 11 31 26
85 16 22 14
86 4 18 28
87 28 18 58
88 26 52 36
89 26 35 15
90 31 67 47
91 15 19 24
92 22 22 4
93 18 24 67
94 26 27 68
95 25 24 44
96 22 27 21
97 25 21 59
98 19 21 41
99 20 26 14
100 18 18 39
101 35 35 64
